Unnamed: 0,Unnamed: 1,County Growth Projections Population by Age,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Population by Age Under 18,,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,Share of Total Population,,,,,,,,
COUNTY,2020,2021,2025,2030.0,2035.0,2040.0,2045.0,2050.0,,,2020.0,2021.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0
Delaware,53873,55925,57994,62696.0,68656.0,74833.0,80560.0,85900.0,,,0.25049985585552076,0.2533523602428196,0.2347783139553713,0.22594455896556198,0.22085613276588079,0.2195050408163864,0.21813829686412659,0.21599358305443592
Fairfield,37515,37917,39948,42517.0,45382.0,47721.0,49781.0,51782.0,,,0.23541482332122216,0.23541573535985696,0.23612301472370156,0.23825855006192245,0.24034530240440632,0.24110282526979507,0.2411823414274917,0.24098101265822786
Fayette,6614,6600,6617,6510.0,6617.0,6856.0,7091.0,7290.0,,,0.22854970800649643,0.22832629903826196,0.22492266902342023,0.2169204624970844,0.21600182803421036,0.21960281870595771,0.22305756527209814,0.22527812113720644
Franklin,309822,309238,324853,336050.0,348291.0,359622.0,366527.0,375575.0,,,0.2340022341170366,0.2340205264966165,0.23368584309203402,0.2322246715822789,0.2291623350817584,0.22839653971195598,0.22621883779606872,0.22544681178019993
Hocking,5996,6016,5896,5871.0,5798.0,5758.0,5674.0,5611.0,,,0.21415050537519198,0.2141153859842688,0.21083497228678705,0.21147611843527123,0.2098519671359803,0.2099314569053522,0.20867966164030893,0.2081771973435239
Knox,14942,14975,15282,15553.0,16138.0,16567.0,16856.0,17132.0,,,0.2380626145144587,0.2380876671383373,0.23819692317284163,0.2380354765147921,0.24081894557772374,0.24318532110091742,0.24444218861029338,0.24547929502794097
Licking,41136,41533,43793,45865.0,49473.0,51486.0,52211.0,52940.0,,,0.2302216252518469,0.2302259965299527,0.22938480475604325,0.22851377609486323,0.22802610595403802,0.22798262432859678,0.226005012618119,0.22413019364780992
