Unnamed: 0,Unnamed: 1,County Growth Projections Population in Group Quarters and Households,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Population in Group Quarters (1),,,,,,,,,,,,,,,,,,
,Estimate,Estimate,Projections,,,,,,,,Share of Total Population (2),,,,,,,
Fayette,28618,28586,29093,29678.0,30295.0,30874.0,31438.0,32001.0,,,0.9889077024085144,0.9889296339860236,0.9889187259934056,0.9889040685082137,0.9889338643337469,0.9889173606662396,0.9889273356401385,0.9889060568603214
Franklin,1295219,1292677,1359896,1415620.0,1486792.0,1540309.0,1584996.0,1629685.0,,,0.9782524793940846,0.978252841274574,0.9782530660867677,0.9782529075593087,0.9782530312321528,0.9782528479547503,0.9782524971732444,0.9782527789549761
Hocking,27527,27624,27494,27294.0,27163.0,26966.0,26732.0,26499.0,,,0.9831422550805385,0.9831654625048938,0.9831575183264796,0.9831424248973417,0.9831336639038691,0.9831558990812309,0.9831555719014343,0.9831558639112529
Knox,59028,59152,60337,61449.0,63023.0,64069.0,64851.0,65635.0,,,0.9404604477017446,0.9404582094535511,0.9404585625886497,0.9404643474800655,0.940459313864474,0.9404623853211009,0.9404556462723146,0.9404642498925347
Licking,174721,176403,186684,196262.0,212154.0,220829.0,225898.0,230968.0,,,0.9778430714125812,0.9778382603200647,0.9778383050048451,0.9778386727118729,0.9778394373208211,0.9778420337151789,0.9778414575550717,0.9778410004995725
Logan,45576,45546,45606,45914.0,46267.0,46558.0,46833.0,47106.0,,,0.9893845652881798,0.9893776474421636,0.9893914741295151,0.989376602667701,0.9893933237816223,0.989374814059246,0.9893947396218443,0.9893932074520594
Madison,38624,39121,40972,43040.0,45313.0,47353.0,49273.0,51194.0,,,0.8813636674805467,0.8813815166944532,0.8813646825994365,0.8813712038990027,0.8813701081459582,0.88137959274839,0.8813701815580002,0.8813786929274844
Marion,59681,59615,59636,59496.0,59574.0,59403.0,59105.0,58806.0,,,0.9130700855223903,0.9130661193732674,0.9130661114003124,0.9130755064456721,0.9130674677374858,0.9130635269524585,0.9130723598838287,0.913065755764304
Morrow,34690,34876,36140,37371.0,39030.0,40202.0,41130.0,42057.0,,,0.9921633680356938,0.9921766094847941,0.9921757035003431,0.9921680029735039,0.9921704204585896,0.9921765097855327,0.9921841076856275,0.9921677793767251
Perry,35101,35122,36508,37058.0,37767.0,38293.0,38729.0,39165.0,,,0.9904624848330935,0.990468133107727,0.9904772240158441,0.9904583723105707,0.9904539613437885,0.9904557446588381,0.9904608459925324,0.9904658337969754
Pickaway,54046,54696,57481,60741.0,64267.0,67490.0,70562.0,73634.0,,,0.9218462168247253,0.9218478755498627,0.9218346564028547,0.9218406155620646,0.9218400367204085,0.9218434136480358,0.9218368280096675,0.9218423325863515
Ross,71109,71022,70744,70388.0,70085.0,69717.0,69313.0,68908.0,,,0.9236734428784829,0.9236711708782562,0.923671497584541,0.9236785470578972,0.9236781063841004,0.9236731232942049,0.9236807036247334,0.923674968499504
Union,59661,61452,62812,68578.0,74658.0,80381.0,85924.0,91468.0,,,0.9458439684829653,0.9458373735974511,0.9458498976026984,0.9458382180539273,0.9458401429060089,0.9458479931280374,0.9458412223151776,0.9458456129465902
Total,2352344,2361918,2483347,2602017.0,2748658.0,2863334.0,2962030.0,3060728.0,,,0.9715776617727295,0.9715681003621088,0.9718359576020961,0.9720167834299491,0.9722260344229939,0.9723689925523797,0.9724793112210894,0.9725825553199529
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,"Group quarters are non-household living arrangements such as dormitories, nursing homes, or correctional facilities",,,,,,,,,,,,,,,,,
2,Group quarters is assumed as a fixed share of the total population in the future.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Updated July 25, 2023",,,,,,,,,,,,,,,,,
