County,Variable,1980,1990,2000,2010,2020,2021,2025,2030,2035,2040,2045,2050
Delaware,Historic population,53840.0,67482.0,111759.0,175099.0,215062.0,220740,,,,,,
Delaware,Forecasted population,,,,,,220740,247016.0,277484.0,310863.0,340917.0,369307.0,397697.0
Delaware,Confidence limit,,,,,,220740,248441.0,287218.0,329249.0,373888.0,420768.0,469644.0
Delaware,Confidence limit,,,,,,220740,238464.0,256467.0,271216.0,283357.0,293257.0,301161.0
Fairfield,Historic population,93678.0,103823.0,123485.0,146417.0,159357.0,161064,,,,,,
Fairfield,Forecasted population,,,,,,161064,169183.0,178449.0,188820.0,197928.0,206404.0,214880.0
Fairfield,Confidence limit,,,,,,161064,171704.0,188541.0,208055.0,229705.0,253189.0,278304.0
Fairfield,Confidence limit,,,,,,161064,163990.0,164104.0,161542.0,156843.0,150311.0,142147.0
Fayette,Historic population,27467.0,27501.0,28495.0,29014.0,28939.0,28906,,,,,,
Fayette,Forecasted population,,,,,,28906,29419.0,30011.0,30634.0,31220.0,31790.0,32360.0
Fayette,Confidence limit,,,,,,28906,29855.0,31216.0,32814.0,34594.0,36534.0,38618.0
Fayette,Confidence limit,,,,,,28906,28912.0,28691.0,28240.0,27601.0,26802.0,25859.0
Franklin,Historic population,869126.0,965600.0,1072018.0,1166202.0,1324013.0,1321414,,,,,,
Franklin,Forecasted population,,,,,,1321414,1390127.0,1447090.0,1519844.0,1574551.0,1620232.0,1665914.0
Franklin,Confidence limit,,,,,,1321414,1409654.0,1506988.0,1617180.0,1738045.0,1868239.0,2006828.0
Franklin,Confidence limit,,,,,,1321414,1333445.0,1327469.0,1308636.0,1279131.0,1240296.0,1193066.0
Hocking,Historic population,24304.0,25594.0,28262.0,29478.0,27999.0,28097,,,,,,
Hocking,Forecasted population,,,,,,28097,27965.0,27762.0,27629.0,27428.0,27190.0,26953.0
Hocking,Confidence limit,,,,,,28097,28660.0,29751.0,31239.0,33041.0,35114.0,37429.0
Hocking,Confidence limit,,,,,,28097,27122.0,25535.0,23571.0,21295.0,18747.0,15958.0
Knox,Historic population,46304.0,47637.0,54616.0,61090.0,62765.0,62897,,,,,,
Knox,Forecasted population,,,,,,62897,64157.0,65339.0,67013.0,68125.0,68957.0,69790.0
Knox,Confidence limit,,,,,,62897,65164.0,69227.0,74288.0,80150.0,86702.0,93868.0
Knox,Confidence limit,,,,,,62897,61970.0,59572.0,56176.0,51978.0,47091.0,41589.0
Licking,Historic population,120981.0,129006.0,146268.0,166705.0,178680.0,180401,,,,,,
Licking,Forecasted population,,,,,,180401,190915.0,200710.0,216962.0,225833.0,231017.0,236202.0
Licking,Confidence limit,,,,,,180401,189312.0,203164.0,219200.0,237045.0,256471.0,277319.0
Licking,Confidence limit,,,,,,180401,176808.0,173324.0,167658.0,160181.0,151123.0,140644.0
Logan,Historic population,39155.0,42417.0,45984.0,45743.0,46065.0,46035,,,,,,
Logan,Forecasted population,,,,,,46035,46095.0,46407.0,46763.0,47058.0,47335.0,47611.0
Logan,Confidence limit,,,,,,46035,47290.0,49351.0,51833.0,54679.0,57844.0,61297.0
Logan,Confidence limit,,,,,,46035,44871.0,43377.0,41448.0,39156.0,36544.0,33644.0
Madison,Historic population,33004.0,37111.0,40218.0,43434.0,43823.0,44386,,,,,,
Madison,Forecasted population,,,,,,44386,46487.0,48833.0,51412.0,53726.0,55905.0,58084.0
Madison,Confidence limit,,,,,,44386,49508.0,58168.0,68798.0,81014.0,94597.0,109400.0
Madison,Confidence limit,,,,,,44386,42918.0,38616.0,32345.0,24486.0,15261.0,4816.0
